time,Druck1,Druckdifferenz,V
31.9,21.59384992,28.86236549,7.009276783
32,21.64597024,28.89964688,6.994278311
32.1,21.37083508,28.55696903,7.03967003
32.2,21.14631678,28.3611052,7.052595544
32.3,21.58182215,28.83652217,7.024488649
32.4,21.41042648,28.64363564,7.030128319
32.5,21.45452829,28.72022958,7.035188779
32.6,21.56428166,28.82537776,7.064606516
32.7,21.51817522,28.74575582,7.028786992
32.8,21.38286285,28.62963172,7.015312754
32.9,21.64847602,28.90087345,7.116064691
33,21.76073518,29.00622483,7.125819795
33.1,21.7988231,29.09855159,7.067167231
33.2,21.56528397,28.8094944,7.085701929
33.3,21.58883835,28.93820048,7.159962661
33.4,21.74169121,29.00381069,7.131032679
33.5,21.73216923,28.87097211,7.12124709
33.6,21.60938578,29.02373218,7.131459465
33.7,21.49061159,28.72535581,7.121216606
33.8,21.85144458,29.2054119,7.094146191
33.9,21.71412758,29.27021131,7.218096985
34,22.18822204,29.87504183,7.150055133
34.1,22.23182269,29.70347805,7.13804416
34.2,22.24234699,29.64773886,7.149079622
34.3,22.15013411,29.56448051,7.144842249
34.4,22.08548487,29.43689375,7.157310492
34.5,22.25587823,29.76923608,7.16715705
34.6,22.25437476,29.87672197,7.135148114
34.7,22.10853809,29.47529758,7.148012658
34.8,22.18721973,29.79728645,7.174016108
34.9,22.63525403,30.25427527,7.194410373
35,22.66632576,30.16458884,7.185874656
35.1,22.71994955,30.40625765,7.231327346
35.2,22.62172279,30.09261061,7.245075946
35.3,22.29446731,29.97975204,7.243765104
35.4,22.25587823,29.93297596,7.21760923
35.5,22.43729704,30.12693111,7.241356812
35.6,22.26840715,29.82551426,7.204714202
35.7,22.5355238,30.02278561,7.247484237
35.8,22.6728408,30.45969542,7.199165986
35.9,22.93193893,30.73644676,7.323147265
36,23.01613329,30.70218555,7.272390238
36.1,23.01863908,30.71415755,7.310892415
36.2,23.01663445,30.57860258,7.248307324
36.3,22.83671911,30.38538338,7.279249296
36.4,22.96651876,30.73776692,7.286961925
36.5,22.81567052,30.57949922,7.326653006
36.6,22.95649562,30.60442719,7.296625575
36.7,23.12939476,30.85510277,7.289888456
36.8,22.99809164,30.83969679,7.261751077
36.9,23.50576362,31.34301942,7.342200203
37,23.56840823,31.33914471,7.281413709
37.1,23.18652665,31.04373825,7.314763972
37.2,23.12538551,30.88819083,7.373081205
37.3,23.15896302,30.81124393,7.309825451
37.4,22.89284869,30.63723328,7.405882744
37.5,23.07476866,30.97265938,7.310160782
37.6,23.31231704,31.05849254,7.316135784
37.7,23.17700467,31.10815506,7.335676477
37.8,23.30730547,31.14277037,7.300314224
37.9,23.75834671,31.67286727,7.395396006
38,23.89015099,31.77755213,7.353875844
38.1,23.68718243,31.77951426,7.453316938
38.2,23.54234807,31.71552647,7.375428527
38.3,23.69069053,31.72315497,7.364728397
38.4,23.62052856,31.53684002,7.385671387
38.5,23.80796125,31.78695438,7.384543453
38.6,23.63806905,31.51114295,7.371343577
38.7,23.692194,31.60031847,7.400578406
38.8,23.74782242,31.71760518,7.356954798
38.9,23.98637312,32.16108658,7.456822679
39,23.98286502,32.0631722,7.43478224
39.1,24.06405244,32.04253389,7.43737344
39.2,23.97083725,32.06521583,7.412223561
