time,P1 [mmHg]3
1631.8,1.230712455
1631.9,1.231349318
1632,1.228585331
1632.1,1.228317849
1632.2,1.228432484
1632.3,1.227821095
1632.4,1.227999417
1632.5,1.22877639
1632.6,1.232788629
1632.7,1.232139029
1632.8,1.231362055
1632.9,1.230534133
1633,1.231846072
1633.1,1.230559608
1633.2,1.231846072
1633.3,1.231094573
1633.4,1.229425991
1633.5,1.22672569
1633.6,1.224764151
1633.7,1.223808856
1633.8,1.224127288
1633.9,1.224432982
1634,1.225528387
1634.1,1.224458457
1634.2,1.223363052
1634.3,1.224292872
1634.4,1.226025141
1634.5,1.226228937
1634.6,1.227808358
1634.7,1.228738178
1634.8,1.229387779
1634.9,1.227872044
1635,1.227400765
1635.1,1.229234932
1635.2,1.228483433
1635.3,1.22812679
1635.4,1.228457959
1635.5,1.22770646
1635.6,1.226878537
1635.7,1.225439226
1635.8,1.224929736
1635.9,1.22439477
1636,1.221630784
1636.1,1.220306108
1636.2,1.220497167
1636.3,1.221745419
1636.4,1.222331333
1636.5,1.223757907
1636.6,1.226330835
1636.7,1.228368798
1636.8,1.229667999
1636.9,1.228508908
1637,1.227821095
1637.1,1.227388028
1637.2,1.228228688
1637.3,1.227731934
1637.4,1.227821095
1637.5,1.226827588
1637.6,1.225592074
1637.7,1.222458706
1637.8,1.222777138
1637.9,1.21964377
1638,1.21978388
1638.1,1.219147016
1638.2,1.220318845
1638.3,1.222407757
1638.4,1.227770146
1638.5,1.226789377
1638.6,1.229069347
1638.7,1.22933683
1638.8,1.227604562
1638.9,1.226687478
1639,1.229782634
1639.1,1.224942473
1639.2,1.224751414
1639.3,1.224369296
1639.4,1.223095569
1639.5,1.222267647
1639.6,1.221732682
1639.7,1.221376038
1639.8,1.22248418
1639.9,1.222586079
1640,1.222586079
1640.1,1.221567097
1640.2,1.222305859
1640.3,1.22239502
1640.4,1.221796368
1640.5,1.224318347
1640.6,1.225197218
1640.7,1.226369047
1640.8,1.227999417
1640.9,1.229642524
1641,1.230355811
1641.1,1.23017749
1641.2,1.229566101
1641.3,1.230585082
1641.4,1.230648768
1641.5,1.230788878
1641.6,1.229693473
1641.7,1.225248167
1641.8,1.226330835
1641.9,1.2241655
1642,1.223872542
1642.1,1.224140025
1642.2,1.225439226
1642.3,1.224573092
1642.4,1.224866049
1642.5,1.2241655
1642.6,1.22346495
1642.7,1.222828087
1642.8,1.2227644
1642.9,1.222726188
1643,1.225910505
1643.1,1.225528387
1643.2,1.224127288
1643.3,1.223286628
1643.4,1.222140274
1643.5,1.221987427
1643.6,1.221223191
1643.7,1.221490674
1643.8,1.222509655
1643.9,1.222726188
1644,1.222216698
1644.1,1.221898266
1644.2,1.220726438
1644.3,1.219949464
1644.4,1.222713451
1644.5,1.222942722
1644.6,1.223541374
1644.7,1.223770644
1644.8,1.225018897
1644.9,1.225388277
1645,1.226050615
1645.1,1.227349816
1645.2,1.227247918
1645.3,1.228037629
1645.4,1.226241674
1645.5,1.226292623
1645.6,1.227031385
1645.7,1.225732183
1645.8,1.226254411
1645.9,1.227044122
1646,1.228279637
1646.1,1.226572843
1646.2,1.229667999
1646.3,1.226381784
1646.4,1.226190725
1646.5,1.227031385
1646.6,1.225617548
1646.7,1.224420245
1646.8,1.22332484
1646.9,1.222089325
1647,1.222229435
1647.1,1.221770893
1647.2,1.222662502
1647.3,1.223847068
1647.4,1.225566599
1647.5,1.225579336
1647.6,1.228878288
1647.7,1.230215701
1647.8,1.230483184
1647.9,1.229273144
1648,1.228508908
1648.1,1.227553613
1648.2,1.227222444
1648.3,1.227668248
1648.4,1.229005661
1648.5,1.227413503
1648.6,1.227107808
1648.7,1.225388277
1648.8,1.225681234
1648.9,1.225693972
1649,1.226063352
1649.1,1.223515899
1649.2,1.221006657
1649.3,1.219414499
1649.4,1.219860303
1649.5,1.220777387
1649.6,1.223108306
1649.7,1.224662253
1649.8,1.227044122
1649.9,1.229018398
1650,1.229375042
1650.1,1.229133034
1650.2,1.228241425
1650.3,1.228763653
1650.4,1.227528138
1650.5,1.227184232
1650.6,1.228024892
1650.7,1.226037878
1650.8,1.224152762
1650.9,1.224241923
1651,1.223133781
1651.1,1.2248151
1651.2,1.225834082
1651.3,1.227095071
1651.4,1.231476691
1651.5,1.230534133
1651.6,1.228050366
1651.7,1.23040676
1651.8,1.230801616
1651.9,1.229871795
1652,1.2282669
1652.1,1.229540626
1652.2,1.228954712
1652.3,1.2268658
1652.4,1.223452213
1652.5,1.221860054
1652.6,1.222089325
1652.7,1.222853561
1652.8,1.223261154
1652.9,1.224649516
1653,1.227693723
1653.1,1.228623543
1653.2,1.228954712
1653.3,1.228967449
1653.4,1.229438728
1653.5,1.228852814
1653.6,1.227604562
1653.7,1.227247918
